file,image_url,image_type,domain,is_remote,is_medium_cdn,status_code,content_type,content_length,risk_level,notes
2016-01-01-001-8ad3ef.md,"https://cdn-images-1.medium.com/max/800/0*0NqFjS5BoGNLRbAS.jpg",html_img,cdn-images-1.medium.com,true,true,timeout,timeout,timeout,high,"Error: timeout"
2016-01-01-20151231365-unknown.md,"https://cdn-images-1.medium.com/max/800/1*ikCvZNFDUPMaeTrH33IQQg.jpeg",html_img,cdn-images-1.medium.com,true,true,timeout,timeout,timeout,high,"Error: timeout"
2016-01-02-002-c7b050.md,"https://cdn-images-1.medium.com/max/800/0*bmeMp1Cvh9nnBpu7.jpg",html_img,cdn-images-1.medium.com,true,true,timeout,timeout,timeout,high,"Error: timeout"
2016-01-06-006-charles-babbage-6364f5.md,"https://cdn-images-1.medium.com/max/800/0*nZmyA98d3codIW9L.jpg",html_img,cdn-images-1.medium.com,true,true,timeout,timeout,timeout,high,"Error: timeout"
2016-01-07-007-ec712f.md,"https://cdn-images-1.medium.com/max/800/1*VaLA97npTEBSq2to9_claw.jpeg",html_img,cdn-images-1.medium.com,true,true,timeout,timeout,timeout,high,"Error: timeout"
2016-01-08-008-6b9c7d.md,"https://cdn-images-1.medium.com/max/800/0*yzVPUYzN-UsuAsQR.jpg",html_img,cdn-images-1.medium.com,true,true,timeout,timeout,timeout,high,"Error: timeout"
2016-01-09-009-cb5ce5.md,"https://cdn-images-1.medium.com/max/800/0*JRRpFXnhP3evYvwY.jpg",html_img,cdn-images-1.medium.com,true,true,timeout,timeout,timeout,high,"Error: timeout"
2016-01-11-011-3afeb2.md,"https://cdn-images-1.medium.com/max/800/0*w5tvlOE9RK6SNYXw.jpg",html_img,cdn-images-1.medium.com,true,true,timeout,timeout,timeout,high,"Error: timeout"
2016-01-13-013-vannevar-bush-c60462.md,"https://cdn-images-1.medium.com/max/800/0*RixHZEBYJyhR08av.jpg",html_img,cdn-images-1.medium.com,true,true,timeout,timeout,timeout,high,"Error: timeout"
2016-01-14-014-j-c-r-licklider-d04e1e.md,"https://cdn-images-1.medium.com/max/800/0*_nBGscZYDLj2PciZ.jpg",html_img,cdn-images-1.medium.com,true,true,timeout,timeout,timeout,high,"Error: timeout"
